# TIME                TIMECORR       CADENCENO   SAP_FLUX     SAP_FLUX_ERR   SAP_BKG     SAP_BKG_ERR   PDCSAP_FLUX   PDCSAP_FLUX_ERR   SAP_QUALITY   PSF_CENTR1   PSF_CENTR1_ERR   PSF_CENTR2   PSF_CENTR2_ERR   MOM_CENTR1           MOM_CENTR1_ERR   MOM_CENTR2           MOM_CENTR2_ERR   POS_CORR1      POS_CORR2    
  539.4502657201374   0.0029379001   21069       ""           ""             ""          ""            ""            ""                16392         ""           ""               ""           ""               ""                   ""               ""                   ""               ""             ""           
  539.4706998918482   0.0029383719   21070       11905.411    6.0289063      2017.7942   1.061137      12121.952     6.1862593         0             ""           ""               ""           ""               1032.2587138681843   0.0010062368     294.86036480422194   8.9342386E-4     0.0029485077   0.11061129   
  539.4911339630999   0.002938843    21071       11914.273    6.0288005      2014.1797   1.0611265     12130.417     6.186641          0             ""           ""               ""           ""               1032.25618430372     0.0010041787     294.85942810060305   8.9159625E-4     0.002876653    0.11058482   
  539.511568134345    0.0029393143   21072       11894.372    6.0286946      2017.6425   1.061116      12110.738     6.1854815         0             ""           ""               ""           ""               1032.2586897189817   0.001005303      294.8590787067999    8.924891E-4      0.002843474    0.11066237   
  539.5320021053631   0.0029397854   21073       11902.236    6.0285892      2012.7612   1.0611055     12118.8955    6.1862974         0             ""           ""               ""           ""               1032.2585848057513   0.0010044306     294.85736669063726   8.9157955E-4     0.0029139812   0.1105714    
  539.5524361759162   0.002940256    21074       11908.253    6.0284834      2013.4623   1.0610951     12125.06      6.186458          0             ""           ""               ""           ""               1032.258348958759    0.0010055461     294.8601132511357    8.927956E-4      0.0029180855   0.11066896   
  539.5728703464702   0.0029407265   21075       11891.398    6.0283775      2015.6339   1.0610845     12109.198     6.1855483         0             ""           ""               ""           ""               1032.2564747561057   0.0010063094     294.8592893382511    8.934624E-4      0.0028742298   0.11077832   
  539.5933043165496   0.0029411966   21076       11899.995    6.0282717      2014.5231   1.0610741     12116.855     6.1853266         0             ""           ""               ""           ""               1032.2573631434084   0.0010057287     294.85868580952103   8.928701E-4      0.0028474368   0.11070823   
  539.6137383866371   0.0029416666   21077       11885.167    6.0281663      2012.847    1.0610636     12103.481     6.184578          0             ""           ""               ""           ""               1032.2568095874171   0.0010071548     294.85954467182586   8.9422066E-4     0.0029325988   0.11081993   
  539.6341725564853   0.0029421365   21078       11892.756    6.0280604      2014.6656   1.0610532     12110.002     6.184957          8192          ""           ""               ""           ""               1032.2594003786987   0.0010062528     294.8599771322023    8.9337415E-4     0.0028739695   0.110693604  
  539.6546065258735   0.0029426059   21079       11903.036    6.0279546      2013.8715   1.0610427     12122.676     6.1847878         0             ""           ""               ""           ""               1032.2575089194843   0.0010058054     294.85810047326885   8.928827E-4      0.002830023    0.11076207   
  539.6750405952625   0.0029430753   21080       11900.269    6.0278487      2017.8636   1.0610322     12118.373     6.1842494         0             ""           ""               ""           ""               1032.2575874052472   0.001005419      294.8594000045638    8.926399E-4      0.002944453    0.11083358   
  539.6954747641867   0.0029435442   21081       11882.466    6.0277424      2015.5254   1.0610217     12101.845     6.184049          0             ""           ""               ""           ""               1032.2575852637538   0.0010070186     294.86134546211593   8.942161E-4      0.0029698894   0.110868886  
  539.7159088328699   0.0029440129   21082       11884.18     6.0276375      2018.157    1.0610112     12102.65      6.1844115         0             ""           ""               ""           ""               1032.2571689073325   0.0010063609     294.85794953734785   8.9336967E-4     0.0029684606   0.11082904   
  539.7363428015597   0.0029444816   21083       11877.026    6.027531       2017.4478   1.0610007     12096.274     6.183337          0             ""           ""               ""           ""               1032.2579827391264   0.0010059234     294.8586709035337    8.9301285E-4     0.0029490506   0.110873654  
